instrument_name,strike,tipo,vencimento,mark_iv,mark_price_btc,underlying_price,best_bid,best_ask,open_interest,volume_24h,delta,gamma,vega,theta
ETH-2SEP26-2360-C,2360.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2360-P,2360.0,PUT,2026-09-02 08:00:00+00:00,43.38,0.0011,2404.62,0.0009,0.0014,868.0,1011.0,-0.13281,0.00527,0.20179,-2.74706
ETH-2SEP26-2380-C,2380.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2380-P,2380.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2400-C,2400.0,CALL,2026-09-02 08:00:00+00:00,36.23,0.0067,2404.62,0.006,0.0075,636.0,553.0,0.55681,0.0116,0.37115,-6.72354
ETH-2SEP26-2400-P,2400.0,PUT,2026-09-02 08:00:00+00:00,36.23,0.0047,2404.62,0.0043,0.0055,1853.0,2279.0,-0.44319,0.0116,0.37115,-6.72354
ETH-2SEP26-2420-C,2420.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2420-P,2420.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2440-C,2440.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2440-P,2440.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2460-C,2460.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2460-P,2460.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2480-C,2480.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2480-P,2480.0,PUT,2026-09-02 08:00:00+00:00,43.86,0.0316,2404.62,0.0001,0.0,78.0,91.0,-0.96342,0.00194,0.07531,-1.65167
ETH-2SEP26-2500-C,2500.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2500-P,2500.0,PUT,2026-09-02 08:00:00+00:00,46.66,0.0398,2404.63,0.0001,0.0,65.0,52.0,-0.98314,0.00095,0.03936,-0.91826
ETH-2SEP26-2520-C,2520.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2520-P,2520.0,PUT,2026-09-02 08:00:00+00:00,52.05,0.0481,2404.62,0.0001,0.0,4.0,0.0,-0.98909,0.00059,0.02702,-0.70303
ETH-2SEP26-2540-C,2540.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2540-P,2540.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2550-C,2550.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2550-P,2550.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2560-C,2560.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2560-P,2560.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2580-C,2580.0,CALL,2026-09-02 08:00:00+00:00,58.2,0.0,2404.62,0.0,0.0001,320.0,357.0,0.00102,6e-05,0.00324,-0.01545
ETH-2SEP26-2580-P,2580.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2600-C,2600.0,CALL,2026-09-02 08:00:00+00:00,59.53,0.0,2404.6,0.0,0.0001,214.0,218.0,0.00041,3e-05,0.00139,-0.00594
ETH-2SEP26-2600-P,2600.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2620-C,2620.0,CALL,2026-09-02 08:00:00+00:00,63.24,0.0,2404.62,0.0,0.0001,440.0,380.0,0.00027,2e-05,0.00095,-0.00408
ETH-2SEP26-2620-P,2620.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2640-C,2640.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2640-P,2640.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2650-C,2650.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2650-P,2650.0,PUT,2026-09-02 08:00:00+00:00,68.83,0.102,2404.6,0.0001,0.0,0.0,0.0,-0.99984,1e-05,0.00058,-0.01988
ETH-2SEP26-2660-C,2660.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2660-P,2660.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2680-C,2680.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2680-P,2680.0,PUT,2026-09-02 08:00:00+00:00,68.96,0.1145,2404.62,0.0001,0.0,0.0,0.0,-0.99997,0.0,0.00012,-0.00418
ETH-2SEP26-2700-C,2700.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2700-P,2700.0,PUT,2026-09-02 08:00:00+00:00,70.61,0.1228,2404.62,0.0001,0.0,0.0,0.0,-0.99999,0.0,6e-05,-0.00209
ETH-2SEP26-2800-C,2800.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2800-P,2800.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2100-C,2100.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2100-P,2100.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2200-C,2200.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2200-P,2200.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2240-C,2240.0,CALL,2026-09-03 08:00:00+00:00,60.66,0.0692,2404.97,0.0001,0.0,0.0,0.0,0.96509,0.00081,0.12115,-2.35898
ETH-3SEP26-2240-P,2240.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2250-C,2250.0,CALL,2026-09-03 08:00:00+00:00,58.61,0.0651,2404.97,0.0001,0.0,0.0,0.0,0.9607,0.00092,0.13345,-2.51056
ETH-3SEP26-2250-P,2250.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2260-C,2260.0,CALL,2026-09-03 08:00:00+00:00,56.53,0.061,2404.97,0.0001,0.0,0.0,0.0,0.95563,0.00106,0.14724,-2.67174
ETH-3SEP26-2260-P,2260.0,PUT,2026-09-03 08:00:00+00:00,56.53,0.0007,2404.97,0.0005,0.0008,57.0,54.0,-0.04437,0.00106,0.14724,-1.63733
